IP,HTTP,HTTPS,Status
100.64.8.158,Timeout,Timeout,Timeout
100.64.8.160,OK (200),Erro de conexão,OK
100.64.8.161,Timeout,Timeout,Timeout
100.64.8.163,OK (200),Erro de conexão,OK
100.64.8.164,OK (200),Erro de conexão,OK
100.64.8.166,Timeout,Timeout,Timeout
100.64.8.167,Timeout,Timeout,Timeout
100.64.8.17,OK (200),Erro de conexão,OK
100.64.8.170,Timeout,Timeout,Timeout
100.64.8.175,OK (200),Erro de conexão,OK
100.64.8.176,Timeout,Timeout,Timeout
100.64.8.177,Timeout,Timeout,Timeout
100.64.8.183,OK (200),Erro de conexão,OK
100.64.8.185,Timeout,Timeout,Timeout
100.64.8.188,Timeout,Timeout,Timeout
100.64.8.189,OK (302),Erro de conexão,OK
100.64.8.19,OK (200),Erro de conexão,OK
100.64.8.191,Timeout,Timeout,Timeout
100.64.8.193,Timeout,Timeout,Timeout
100.64.8.195,Timeout,Timeout,Timeout
100.64.8.196,OK (200),Erro de conexão,OK
100.64.8.197,Timeout,Timeout,Timeout
100.64.8.199,Timeout,Timeout,Timeout
100.64.8.2,Timeout,Timeout,Timeout
100.64.8.20,OK (200),Erro de conexão,OK
100.64.8.201,Timeout,Timeout,Timeout
100.64.8.202,Timeout,Timeout,Timeout
100.64.8.203,Timeout,Timeout,Timeout
100.64.8.205,OK (200),Erro de conexão,OK
100.64.8.207,OK (200),Erro de conexão,OK
100.64.8.208,OK (200),Erro de conexão,OK
100.64.8.209,Timeout,Timeout,Timeout
100.64.8.211,OK (200),Erro de conexão,OK
100.64.8.213,Timeout,Timeout,Timeout
100.64.8.215,Timeout,Timeout,Timeout
100.64.8.217,OK (200),Erro de conexão,OK
100.64.8.218,Timeout,Timeout,Timeout
100.64.8.22,Timeout,Timeout,Timeout
100.64.8.221,Timeout,Timeout,Timeout
100.64.8.222,Timeout,Timeout,Timeout
100.64.8.223,OK (200),Erro de conexão,OK
100.64.8.224,Erro de conexão,Erro de conexão,Error
100.64.8.225,Timeout,Timeout,Timeout
100.64.8.226,OK (200),Erro de conexão,OK
100.64.8.228,Timeout,Timeout,Timeout
100.64.8.232,Timeout,Timeout,Timeout
100.64.8.233,OK (302),Erro de conexão,OK
100.64.8.235,Timeout,Timeout,Timeout
100.64.8.236,Timeout,Timeout,Timeout
100.64.8.238,Timeout,Timeout,Timeout
100.64.8.24,OK (200),Erro de conexão,OK
100.64.8.240,OK (200),Erro de conexão,OK
100.64.8.241,OK (200),Erro de conexão,OK
100.64.8.243,Timeout,Timeout,Timeout
100.64.8.246,Timeout,Timeout,Timeout
100.64.8.248,Erro de conexão,Erro de conexão,Error
100.64.8.249,OK (200),Erro de conexão,OK
100.64.8.25,OK (200),Erro de conexão,OK
100.64.8.250,Timeout,Timeout,Timeout
100.64.8.251,Timeout,Timeout,Timeout
100.64.8.252,OK (200),Erro de conexão,OK
100.64.8.254,Timeout,Timeout,Timeout
100.64.8.255,Erro: ChunkedEncodingError,OK (200),OK
100.64.8.26,OK (200),Erro de conexão,OK
100.64.8.27,OK (200),Erro de conexão,OK
100.64.8.28,Timeout,Timeout,Timeout
100.64.8.29,Timeout,Timeout,Timeout
100.64.8.30,OK (200),Erro de conexão,OK
100.64.8.32,OK (307),Erro de conexão,OK
100.64.8.37,OK (200),Erro de conexão,OK
100.64.8.38,OK (200),Erro de conexão,OK
100.64.8.40,Timeout,Timeout,Timeout
100.64.8.41,Timeout,Timeout,Timeout
100.64.8.42,Timeout,Timeout,Timeout
100.64.8.45,Timeout,Timeout,Timeout
100.64.8.47,Timeout,Timeout,Timeout
100.64.8.48,OK (200),Erro de conexão,OK
100.64.8.53,OK (200),Erro de conexão,OK
100.64.8.56,OK (200),Erro de conexão,OK
100.64.8.58,OK (200),Erro de conexão,OK
100.64.8.6,Timeout,Timeout,Timeout
100.64.8.61,OK (200),Erro de conexão,OK
100.64.8.65,Timeout,Timeout,Timeout
100.64.8.7,OK (307),Erro de conexão,OK
100.64.8.75,Timeout,Timeout,Timeout
100.64.8.76,OK (200),Erro de conexão,OK
100.64.8.77,OK (200),Erro de conexão,OK
100.64.8.78,Timeout,Timeout,Timeout
100.64.8.8,OK (200),Erro de conexão,OK
100.64.8.80,OK (307),Erro de conexão,OK
100.64.8.82,OK (200),Erro de conexão,OK
100.64.8.83,OK (200),Erro de conexão,OK
100.64.8.85,Timeout,Timeout,Timeout
100.64.8.86,OK (200),Erro de conexão,OK
100.64.8.9,OK (302),Erro de conexão,OK
100.64.8.96,Timeout,Timeout,Timeout
100.64.8.97,Timeout,Timeout,Timeout
100.64.8.99,Timeout,Timeout,Timeout
100.64.9.0,Timeout,Timeout,Timeout
100.64.9.100,OK (302),Erro de conexão,OK
100.64.9.102,OK (200),Erro de conexão,OK
100.64.9.104,Timeout,Timeout,Timeout
100.64.9.106,Erro de conexão,Erro de conexão,Error
100.64.9.107,OK (200),Erro de conexão,OK
100.64.9.108,OK (302),Erro de conexão,OK
100.64.9.11,Timeout,Timeout,Timeout
100.64.9.113,OK (200),Erro de conexão,OK
100.64.9.114,Timeout,Timeout,Timeout
100.64.9.115,Timeout,Timeout,Timeout
100.64.9.117,OK (200),Erro de conexão,OK
100.64.9.118,OK (200),Erro de conexão,OK
100.64.9.12,OK (302),Erro de conexão,OK
100.64.9.122,OK (302),Erro de conexão,OK
100.64.9.123,OK (200),Erro de conexão,OK
100.64.9.124,Timeout,Timeout,Timeout
100.64.9.127,OK (200),Erro de conexão,OK
100.64.9.13,Timeout,Timeout,Timeout
100.64.9.132,Timeout,Timeout,Timeout
100.64.9.134,Timeout,Timeout,Timeout
100.64.9.137,OK (200),Erro de conexão,OK
100.64.9.138,Timeout,Timeout,Timeout
100.64.9.14,Timeout,Timeout,Timeout
100.64.9.140,Timeout,Timeout,Timeout
100.64.9.141,OK (200),Erro de conexão,OK
100.64.9.146,Timeout,Timeout,Timeout
100.64.9.147,OK (200),Erro de conexão,OK
100.64.9.155,Timeout,Timeout,Timeout
100.64.9.157,Erro: ChunkedEncodingError,OK (200),OK
100.64.9.160,Timeout,Timeout,Timeout
100.64.9.163,OK (200),Erro de conexão,OK
100.64.9.17,Timeout,Timeout,Timeout
100.64.9.170,OK (200),Erro de conexão,OK
100.64.9.171,Timeout,Timeout,Timeout
100.64.9.173,OK (302),Erro de conexão,OK
100.64.9.176,Erro de conexão,Erro de conexão,Error
100.64.9.178,Timeout,Timeout,Timeout
100.64.9.179,OK (200),Erro de conexão,OK
100.64.9.183,OK (200),Erro de conexão,OK
100.64.9.187,OK (200),Erro de conexão,OK
100.64.9.189,OK (200),Erro de conexão,OK
100.64.9.19,OK (200),Erro de conexão,OK
100.64.9.190,OK (200),Erro de conexão,OK
100.64.9.193,OK (307),Erro de conexão,OK
100.64.9.196,Erro de conexão,Erro de conexão,Error
100.64.9.197,Timeout,Timeout,Timeout
100.64.9.20,OK (302),Erro de conexão,OK
100.64.9.202,Timeout,Timeout,Timeout
100.64.9.203,OK (200),Erro de conexão,OK
100.64.9.205,OK (200),Erro de conexão,OK
100.64.9.206,Timeout,Timeout,Timeout
100.64.9.207,Timeout,Timeout,Timeout
100.64.9.208,Timeout,Timeout,Timeout
100.64.9.209,Timeout,Timeout,Timeout
100.64.9.210,OK (200),Erro de conexão,OK
100.64.9.211,Timeout,Timeout,Timeout
100.64.9.212,Timeout,Timeout,Timeout
100.64.9.213,OK (200),Erro de conexão,OK
100.64.9.214,Timeout,Timeout,Timeout
100.64.9.215,Timeout,Timeout,Timeout
100.64.9.217,OK (302),Erro de conexão,OK
100.64.9.218,OK (200),Erro de conexão,OK
100.64.9.220,Timeout,Timeout,Timeout
100.64.9.223,Timeout,Timeout,Timeout
100.64.9.224,Timeout,Timeout,Timeout
100.64.9.225,Timeout,Timeout,Timeout
100.64.9.226,OK (200),Erro de conexão,OK
100.64.9.227,OK (200),Erro de conexão,OK
100.64.9.229,Timeout,Timeout,Timeout
100.64.9.232,OK (200),Erro de conexão,OK
100.64.9.235,Timeout,Timeout,Timeout
100.64.9.239,Timeout,Timeout,Timeout
100.64.9.24,Timeout,Timeout,Timeout
100.64.9.240,Timeout,Timeout,Timeout
100.64.9.243,Timeout,Timeout,Timeout
100.64.9.246,Timeout,Timeout,Timeout
100.64.9.247,OK (200),Erro de conexão,OK
100.64.9.249,OK (200),Erro de conexão,OK
100.64.9.251,OK (200),Erro de conexão,OK
100.64.9.252,OK (200),Erro de conexão,OK
100.64.9.253,OK (200),Erro de conexão,OK
100.64.9.254,OK (200),Erro de conexão,OK
100.64.9.26,OK (200),Erro de conexão,OK
100.64.9.28,Timeout,Timeout,Timeout
100.64.9.3,Timeout,Timeout,Timeout
100.64.9.30,Erro de conexão,Erro de conexão,Error
100.64.9.31,OK (302),Erro de conexão,OK
100.64.9.32,Timeout,Timeout,Timeout
100.64.9.35,Timeout,Timeout,Timeout
100.64.9.37,Timeout,Timeout,Timeout
100.64.9.40,OK (200),Erro de conexão,OK
100.64.9.47,Timeout,Timeout,Timeout
100.64.9.48,Timeout,Timeout,Timeout
100.64.9.50,OK (200),Erro de conexão,OK
100.64.9.58,OK (200),Erro de conexão,OK
100.64.9.59,OK (200),Erro de conexão,OK
100.64.9.61,OK (302),Timeout,OK
100.64.9.66,Erro de conexão,OK (200),OK
100.64.9.67,Timeout,Timeout,Timeout
100.64.9.7,Timeout,Timeout,Timeout
100.64.9.70,Timeout,Timeout,Timeout
100.64.9.72,OK (200),Erro de conexão,OK
100.64.9.74,Timeout,Timeout,Timeout
100.64.9.75,Timeout,Timeout,Timeout
100.64.9.76,OK (302),Erro de conexão,OK
100.64.9.77,OK (200),Erro de conexão,OK
100.64.9.80,Timeout,Timeout,Timeout
100.64.9.81,Timeout,Timeout,Timeout
100.64.9.82,Erro: ChunkedEncodingError,OK (200),OK
100.64.9.83,OK (200),Erro de conexão,OK
100.64.9.84,Erro de conexão,Erro de conexão,Error
100.64.9.88,Erro: ChunkedEncodingError,OK (200),OK
100.64.9.9,Erro de conexão,Erro de conexão,Error
100.64.9.91,Timeout,Timeout,Timeout
100.64.9.94,Erro: ChunkedEncodingError,OK (200),OK
100.64.9.95,OK (200),Erro de conexão,OK
100.64.9.97,Timeout,Timeout,Timeout
100.64.9.98,OK (200),Erro de conexão,OK
45.235.84.11,OK (200),Erro de conexão,OK
45.235.84.14,Erro de conexão,Erro de conexão,Error
45.235.84.17,OK (302),Erro de conexão,OK
45.235.84.18,OK (200),Timeout,OK
45.235.84.41,Erro de conexão,Erro de conexão,Error
45.235.84.84,Timeout,Timeout,Timeout
45.235.87.16,Timeout,Timeout,Timeout
45.235.87.20,Timeout,Timeout,Timeout
45.235.87.25,OK (200),Erro de conexão,OK
45.235.87.30,Timeout,Timeout,Timeout
45.235.87.39,Erro de conexão,Erro de conexão,Error
45.235.87.74,Timeout,Timeout,Timeout
45.235.87.79,Erro de conexão,Erro de conexão,Error
