IP,HTTP,HTTPS,Status
100.64.10.227,Timeout,Timeout,Timeout
100.64.10.230,Timeout,Timeout,Timeout
100.64.10.232,OK (200),Erro de conexão,OK
100.64.10.233,OK (302),Erro de conexão,OK
100.64.10.235,Timeout,Erro de conexão,Error
100.64.10.237,OK (200),Erro de conexão,OK
100.64.10.238,OK (200),Erro de conexão,OK
100.64.10.241,Timeout,Timeout,Timeout
100.64.10.243,OK (200),Erro de conexão,OK
100.64.10.245,OK (302),Erro de conexão,OK
100.64.10.246,Timeout,Timeout,Timeout
100.64.10.248,OK (302),Erro de conexão,OK
100.64.10.25,Erro de conexão,OK (200),OK
100.64.10.250,Timeout,Timeout,Timeout
100.64.10.251,Timeout,Timeout,Timeout
100.64.10.252,OK (302),Erro de conexão,OK
100.64.10.255,OK (302),Erro de conexão,OK
100.64.10.27,Timeout,Timeout,Timeout
100.64.10.38,OK (200),Erro de conexão,OK
100.64.10.39,OK (302),Erro de conexão,OK
100.64.10.4,OK (200),Erro de conexão,OK
100.64.10.42,Timeout,Timeout,Timeout
100.64.10.44,OK (200),Erro de conexão,OK
100.64.10.46,OK (200),Erro de conexão,OK
100.64.10.48,OK (200),Erro de conexão,OK
100.64.10.49,Timeout,Timeout,Timeout
100.64.10.54,Timeout,Timeout,Timeout
100.64.10.57,Timeout,Timeout,Timeout
100.64.10.6,Timeout,Timeout,Timeout
100.64.10.62,OK (200),Erro de conexão,OK
100.64.10.63,Timeout,Timeout,Timeout
100.64.10.64,Timeout,Timeout,Timeout
100.64.10.65,OK (200),Erro de conexão,OK
100.64.10.67,Timeout,Timeout,Timeout
100.64.10.68,OK (200),Erro de conexão,OK
100.64.10.7,Timeout,Timeout,Timeout
100.64.10.72,OK (200),Erro de conexão,OK
100.64.10.74,OK (200),Erro de conexão,OK
100.64.10.75,Timeout,Timeout,Timeout
100.64.10.79,OK (200),Erro de conexão,OK
100.64.10.80,Erro de conexão,Erro de conexão,Error
100.64.10.81,OK (200),Erro de conexão,OK
100.64.10.82,OK (200),Erro de conexão,OK
100.64.10.86,Timeout,Timeout,Timeout
100.64.10.88,OK (200),Erro de conexão,OK
100.64.10.93,Timeout,Timeout,Timeout
100.64.10.94,Timeout,Timeout,Timeout
100.64.10.96,OK (200),Erro de conexão,OK
100.64.10.98,Timeout,Timeout,Timeout
100.64.16.10,OK (302),Erro de conexão,OK
100.64.16.103,Erro de conexão,Erro de conexão,Error
100.64.16.108,Timeout,Timeout,Timeout
100.64.16.11,Erro de conexão,Erro de conexão,Error
100.64.16.111,OK (200),Erro de conexão,OK
100.64.16.114,Timeout,Timeout,Timeout
100.64.16.117,OK (200),Erro de conexão,OK
100.64.16.119,OK (200),Erro de conexão,OK
100.64.16.120,Erro de conexão,Erro de conexão,Error
100.64.16.125,Timeout,Timeout,Timeout
100.64.16.128,Timeout,Timeout,Timeout
100.64.16.13,OK (200),Erro de conexão,OK
100.64.16.130,OK (200),Erro de conexão,OK
100.64.16.131,OK (200),Erro de conexão,OK
100.64.16.134,OK (200),Erro de conexão,OK
100.64.16.136,Timeout,Timeout,Timeout
100.64.16.137,Timeout,Timeout,Timeout
100.64.16.14,Timeout,Timeout,Timeout
100.64.16.141,Timeout,Timeout,Timeout
100.64.16.144,OK (302),Erro de conexão,OK
100.64.16.145,OK (200),Erro de conexão,OK
100.64.16.146,Timeout,Timeout,Timeout
100.64.16.148,Erro de conexão,Erro de conexão,Error
100.64.16.149,Timeout,Timeout,Timeout
100.64.16.15,Timeout,Timeout,Timeout
100.64.16.150,OK (200),Erro de conexão,OK
100.64.16.151,Erro de conexão,Erro de conexão,Error
100.64.16.152,Timeout,Timeout,Timeout
100.64.16.154,Timeout,Timeout,Timeout
100.64.16.156,Timeout,Timeout,Timeout
100.64.16.159,OK (200),Erro de conexão,OK
100.64.16.160,Erro de conexão,Erro de conexão,Error
100.64.16.164,Erro de conexão,Erro de conexão,Error
100.64.16.168,Timeout,Timeout,Timeout
100.64.16.170,OK (200),Erro de conexão,OK
100.64.16.171,OK (200),Erro de conexão,OK
100.64.16.174,OK (200),Erro de conexão,OK
100.64.16.179,OK (200),Erro de conexão,OK
100.64.16.188,OK (200),Erro de conexão,OK
100.64.16.191,Timeout,Timeout,Timeout
100.64.16.194,Erro de conexão,Erro de conexão,Error
100.64.16.197,Timeout,Timeout,Timeout
100.64.16.198,Timeout,Timeout,Timeout
100.64.16.199,Timeout,Timeout,Timeout
100.64.16.200,OK (200),Erro de conexão,OK
100.64.16.203,Timeout,Timeout,Timeout
100.64.16.208,OK (200),Erro de conexão,OK
100.64.16.211,Timeout,Timeout,Timeout
100.64.16.217,Timeout,Timeout,Timeout
100.64.16.218,Timeout,Timeout,Timeout
100.64.16.221,OK (302),Erro de conexão,OK
100.64.16.222,Timeout,Timeout,Timeout
100.64.16.227,OK (200),Erro de conexão,OK
100.64.16.23,Timeout,Timeout,Timeout
100.64.16.230,Timeout,Timeout,Timeout
100.64.16.231,OK (200),Erro de conexão,OK
100.64.16.232,Timeout,Timeout,Timeout
100.64.16.234,Erro de conexão,Erro de conexão,Error
100.64.16.238,Erro de conexão,Erro de conexão,Error
100.64.16.239,Timeout,Timeout,Timeout
100.64.16.24,OK (200),Erro de conexão,OK
100.64.16.240,OK (200),Erro de conexão,OK
100.64.16.242,OK (200),Erro de conexão,OK
100.64.16.244,Timeout,Timeout,Timeout
100.64.16.245,Erro de conexão,Erro de conexão,Error
100.64.16.246,OK (302),Erro de conexão,OK
100.64.16.25,Timeout,Timeout,Timeout
100.64.16.251,Timeout,Timeout,Timeout
100.64.16.252,Timeout,Timeout,Timeout
100.64.16.254,OK (200),Erro de conexão,OK
100.64.16.26,Timeout,Timeout,Timeout
100.64.16.27,Erro: ChunkedEncodingError,OK (200),OK
100.64.16.29,Timeout,Timeout,Timeout
100.64.16.30,OK (200),Erro de conexão,OK
100.64.16.32,OK (200),Erro de conexão,OK
100.64.16.33,Timeout,Timeout,Timeout
100.64.16.34,Timeout,Timeout,Timeout
100.64.16.35,Timeout,Timeout,Timeout
100.64.16.37,Timeout,Timeout,Timeout
100.64.16.4,Timeout,Timeout,Timeout
100.64.16.41,OK (200),Erro de conexão,OK
100.64.16.42,Timeout,Timeout,Timeout
100.64.16.45,Timeout,Timeout,Timeout
100.64.16.48,Timeout,Timeout,Timeout
100.64.16.50,Timeout,Timeout,Timeout
100.64.16.51,OK (200),Erro de conexão,OK
100.64.16.55,OK (200),Erro de conexão,OK
100.64.16.56,OK (200),Erro de conexão,OK
100.64.16.6,Timeout,Timeout,Timeout
100.64.16.60,OK (200),Erro de conexão,OK
100.64.16.61,Erro de conexão,Erro de conexão,Error
100.64.16.64,OK (200),Erro de conexão,OK
100.64.16.65,Timeout,Timeout,Timeout
100.64.16.66,Timeout,Timeout,Timeout
100.64.16.69,Erro de conexão,Erro de conexão,Error
100.64.16.70,Timeout,Timeout,Timeout
100.64.16.72,Timeout,Timeout,Timeout
100.64.16.74,OK (200),Erro de conexão,OK
100.64.16.75,OK (307),Erro de conexão,OK
100.64.16.77,Timeout,Timeout,Timeout
100.64.16.78,Timeout,Timeout,Timeout
100.64.16.79,Timeout,Timeout,Timeout
100.64.16.80,OK (200),Erro de conexão,OK
100.64.16.81,Erro: ChunkedEncodingError,OK (200),OK
100.64.16.83,OK (200),Erro de conexão,OK
100.64.16.84,Timeout,Timeout,Timeout
100.64.16.85,Timeout,Timeout,Timeout
100.64.16.86,Erro de conexão,Erro de conexão,Error
100.64.16.88,OK (200),Erro de conexão,OK
100.64.16.89,OK (200),Erro de conexão,OK
100.64.16.91,OK (200),Erro de conexão,OK
100.64.16.92,Timeout,Timeout,Timeout
100.64.16.93,OK (302),Erro de conexão,OK
100.64.16.94,Timeout,Timeout,Timeout
100.64.16.95,Erro de conexão,Erro de conexão,Error
100.64.16.97,OK (200),Erro de conexão,OK
100.64.16.98,Timeout,Timeout,Timeout
100.64.17.0,OK (200),Erro de conexão,OK
100.64.17.100,OK (200),Erro de conexão,OK
100.64.17.101,OK (200),Erro de conexão,OK
100.64.17.102,Timeout,Timeout,Timeout
100.64.17.105,Erro de conexão,Erro de conexão,Error
